Name,Franchise,Medium,Role,Powers,Strengths,Weaknesses,Signature Abilities,Power Tier,Confidence,Cross-Medium Note
Edward Elric,Fullmetal Alchemist,anime,Alchemist,"Circle-less alchemy, automail limbs","Genius, fast transmutation, martial skill","Short-temper trigger, alchemy rules, automail","Clap transmutation, blade arm",Wall,High,
Roy Mustang,Fullmetal Alchemist,anime,Alchemist,Flame Alchemy (instant combustion),"Devastating fire, tactical mind","Useless when gloves wet, later blinded","Flame snaps, pinpoint combustion",Building,High,
Father,Fullmetal Alchemist,anime,Homunculus,"Absorbed God, circle-less near-omnipotence","Reality-warping power, philosopher's stone core","Needs God contained, hubris","Matter creation, energy blasts",Continent,High,
Greed,Fullmetal Alchemist,anime,Homunculus,"Ultimate Shield (carbon skin), regeneration","Near-impervious skin, durability",Vulnerable to heat softening carbon,Ultimate Shield claws,Building,High,
Light Yagami,Death Note,manga,Antagonist,Death Note (kills by name+face),"Master strategist, manipulation","No combat skill, notebook-dependent, hubris","Death Note, controlling victims' actions",Human,High,
L,Death Note,manga,Detective,Genius deduction,"Master investigator, capoeira kicks","Physically frail, no powers",Deductive reasoning,Human,High,
Eren Yeager,Attack on Titan,anime,Titan Shifter,Attack/Founding/War Hammer Titan,"Hardening, regen, command all Titans","Transformation stamina, mortal as human","Founding rumbling, hardened spears",Continent,High,
Levi Ackerman,Attack on Titan,anime,Soldier,"ODM mastery, peak human ability","Strongest soldier, flawless blades","Fully human, aging, ambush-prone","ODM spins, dual-blade nape strikes",Human,High,
Mikasa Ackerman,Attack on Titan,anime,Soldier,"ODM mastery, Ackerman strength","Elite blades, superhuman reflexes","Tied to Eren, fully human",ODM aerial combat,Human,High,
Reiner Braun,Attack on Titan,anime,Titan Shifter,Armored Titan hardened plating,"Walking fortress, endurance","Slow, split-personality trauma","Armored charge, hardened shell",Building,High,
Annie Leonhart,Attack on Titan,anime,Titan Shifter,"Female Titan (hardening, agility, calling)","Agile, martial arts, hardened limbs",Crystallizes when cornered,"Female Titan hardening, Titan-call scream",Building,High,
Zeke Yeager,Attack on Titan,anime,Titan Shifter,"Beast Titan (throwing, royal command)","Long-range throws, turns Eldians to Titans","Needs spinal fluid contact, scheming","Stone throws, scream command",City,High,
Tanjiro Kamado,Demon Slayer,anime,Demon Slayer,"Water & Sun Breathing, enhanced smell, Mark","Keen perception, hard head, breathing styles","Human stamina, demons heal fast","Water Breathing, Hinokami Kagura",Wall,High,
Nezuko Kamado,Demon Slayer,anime,Demon,"Demon strength, Blood Demon Art fire, regen","Sunlight resistance, blood pyrokinesis","Sleeps to recover, early loss of control","Exploding Blood, size shift",Wall,High,
Zenitsu Agatsuma,Demon Slayer,anime,Demon Slayer,"Thunder Breathing, sleep-fighting","Godspeed asleep, perfected first form","Cowardice awake, one main form",Thunderclap and Flash,Wall,High,
Inosuke Hashibira,Demon Slayer,anime,Demon Slayer,"Beast Breathing, flexible joints, dual blades","Heightened touch, agility","Reckless, ego","Beast Breathing, joint dislocation",Wall,High,
Rengoku,Demon Slayer,anime,Demon Slayer,"Flame Breathing, Hashira skill","Master swordsman, iron spirit","Human stamina, mortal","Flame Breathing forms, Flame Tiger",Wall,High,
Giyu Tomioka,Demon Slayer,anime,Demon Slayer,"Water Breathing, Dead Calm","Water Hashira, calm precision","Human limits, self-doubt",Dead Calm,Wall,High,
Muzan Kibutsuji,Demon Slayer,anime,Demon,"Progenitor demon, regen, blood demon arts","Near-immortal, creates demons, shapeshift","Sunlight kills him, fear of death","Tentacle whips, instant regen",City,High,
Akaza,Demon Slayer,anime,Demon,"Upper Moon 3, martial arts, regen","Compass-needle technique, super strength","Won't eat women, sunlight, pride",Destructive Death: Compass,Building,High,
Gojo Satoru,Jujutsu Kaisen,anime,Sorcerer,"Limitless, Six Eyes, Infinity, Hollow Purple","Strongest sorcerer, near-untouchable","Domain strain, can be sealed","Infinity, Blue, Red, Hollow Purple, Unlimited Void",Island,High,
Yuji Itadori,Jujutsu Kaisen,anime,Sorcerer,"Superhuman body, Sukuna vessel, Black Flash","Insane strength/durability, fast learner","Limited cursed-energy control, Sukuna risk","Divergent Fist, Black Flash",Building,High,
Sukuna,Jujutsu Kaisen,anime,Curse,"Cleave/Dismantle, Malevolent Shrine, fire arrow","King of Curses, guaranteed-hit domain","Needs vessel/fingers, arrogance","Malevolent Shrine, Cleave, Fuga",City,High,
Megumi Fushiguro,Jujutsu Kaisen,anime,Sorcerer,Ten Shadows shikigami summons,Versatile summons incl. Mahoraga,"Shikigami die permanently, drain","Divine Dogs, Nue, Mahoraga",City,High,
Toji Fushiguro,Jujutsu Kaisen,anime,Assassin,"Heavenly Restriction (peak human), cursed tools","Invisible to sorcerers, superhuman",Fully human durability ceiling,"Inverted Spear of Heaven, Playful Cloud",Building,High,
Saitama,One Punch Man,anime,Hero,"Limitless strength, speed, durability","Effectively unbeatable, infinite stamina","Boredom, weak social life","Serious Punch, Serious Series",Universal,High,
Genos,One Punch Man,anime,Cyborg,"Cybernetic body, incineration cannons, flight","Powerful blasts, analytical","Body destroyed often, outclassed by top threats",Incineration Cannon,City,High,
Garou,One Punch Man,anime,Martial Artist,"Martial mastery, Cosmic form, copies moves","Adapts to any style, monster evolution","Human limits pre-monster, ego",Water Stream Rock Smashing Fist,Planet,High,
Tatsumaki,One Punch Man,anime,Hero,"Psychokinesis (telekinesis, barriers, flight)","S-class esper, hurls massive objects","Small body, low stamina, arrogant","Telekinetic storms, barriers",City,High,
Mob,Mob Psycho 100,anime,Esper,"Psychokinesis, ???% explosive power, absorption","Strongest esper, reality-bending at peak","Suppresses power for ethics, anxiety","Psychic barriers, ???% mode",Island,High,
Reigen Arataka,Mob Psycho 100,anime,Con Man,"None (charisma, conviction)","Talks down espers, borrowed power moments",No real psychic power,"Salt Splash (placebo), persuasion",Human,High,
Killua Zoldyck,Hunter x Hunter,anime,Hunter,"Nen Transmuter, Godspeed electricity","Lightning speed, precision killing","Past conditioning, limited Nen reserves","Godspeed, Whirlwind, Lightning Palm",Building,High,
Gon Freecss,Hunter x Hunter,anime,Hunter,"Nen Enhancer, Jajanken, adult form","Raw power, rapid growth, huge potential","Reckless, traded lifespan for power",Jajanken (Rock/Paper/Scissors),City,High,
Hisoka,Hunter x Hunter,anime,Hunter,"Nen Transmuter (Bungee Gum, Texture Surprise)","Elastic aura, combat genius, unpredictable","Bloodlust, toys with prey","Bungee Gum, Texture Surprise",Building,High,
Meruem,Hunter x Hunter,anime,Chimera Ant,"Immense Nen, aura absorption, genius","Strongest Ant King, rapid evolution","Poison vulnerability, emotional growth","Aura sense, photon, En",City,High,
Yusuke Urameshi,Yu Yu Hakusho,anime,Spirit Detective,"Spirit energy, Spirit Gun, Mazoku lineage","Reiki blasts, demon durability","Hotheaded, energy depletion","Spirit Gun, Spirit Wave",City,High,
Hiei,Yu Yu Hakusho,anime,Demon,"Fire demon, Jagan eye, Dragon of the Darkness Flame","Speed, black flame dragon, swordsmanship",Black dragon can consume user,"Dragon of the Darkness Flame, Jagan",City,High,
Inuyasha,Inuyasha,anime,Half-Demon,"Half-demon strength, Tessaiga, claws","Demonic durability/healing, sword techniques","Loses power on new moon, blood-rage","Wind Scar, Backlash Wave",Building,High,
Sesshomaru,Inuyasha,anime,Demon,"Full demon, Tokijin/Bakusaiga, poison, flight","Superior demon power, regenerates arm","Pride, emotional detachment","Bakusaiga, Dragon Strike, poison claws",City,High,
Spike Spiegel,Cowboy Bebop,anime,Bounty Hunter,"Jeet Kune Do, marksmanship, piloting",Elite hand-to-hand and gunplay,"Fully human, old injuries, fatalistic","Gunfighting, close-quarters martial arts",Human,High,
Vash the Stampede,Trigun,anime,Gunman,"Angel Arm, superhuman gun skill, plant powers","Insane marksmanship, regen, energy cannon","Pacifist, trauma, power backlash","Angel Arm, trick-shot gunplay",City,High,
Guts,Berserk,manga,Mercenary,"Superhuman strength, Dragonslayer, Berserker Armor","Slays apostles, brutal endurance","Armor damages body, cursed brand","Dragonslayer cleaves, cannon arm",City,High,
Griffith,Berserk,manga,Antagonist,"Godhand (Femto), causality manipulation","God-tier authority over fate, summons demons","Pre-ascension human, arrogance","Causality control, demon summoning",Star,High,
Alucard,Hellsing,anime,Vampire,"Regeneration, shapeshifting, familiars","Near-immortal, soul army, firepower","Bound by master's seals, holy weapons","Jackal/Casull, level-zero release",City,High,
Lelouch Lamperouge,Code Geass,anime,Strategist,"Geass (absolute command), tactics","Mind-control commands, master strategist","One command per person, frail body",Geass absolute obedience,Human,High,
Kenshiro,Fist of the North Star,anime,Martial Artist,Hokuto Shinken pressure-point destruction,"Destroys bodies from within, durability","Honor-bound, emotional",Hokuto Hyakuretsuken,City,High,
Jotaro Kujo,JoJo's Bizarre Adventure,anime,Stand User,"Star Platinum (strength/speed, time stop)","Time stop, precision, durability","Limited time-stop duration, Stand range","Star Platinum: The World, ORA barrage",City,High,
Dio Brando,JoJo's Bizarre Adventure,anime,Vampire,"Vampirism, The World time stop, freezing","Time stop, immortality, body manipulation","Sunlight/Ripple, ego","The World, freezing touch",City,High,
Giorno Giovanna,JoJo's Bizarre Adventure,anime,Stand User,"Gold Experience, GER (reset to zero)",Requiem nullifies actions/causality,Limited reach without GER,Gold Experience Requiem,Universal,High,
Joseph Joestar,JoJo's Bizarre Adventure,anime,Ripple User,"Hamon, Hermit Purple, foresight","Cunning trickster, prediction","Ages out of prime, trick-reliant","Hamon, clackers, foresight",Wall,High,
Meliodas,Seven Deadly Sins,anime,Demon,"Full Counter, demon mark, immortality","Reflects attacks, huge ceiling","Emotional over Elizabeth, curse cycle","Full Counter, Revenge Counter",Island,High,
Escanor,Seven Deadly Sins,anime,Human,"The One (power grows with sun), Sunshine","Strongest at noon, immense heat","Powerless at night, short peak","Cruel Sun, Divine Sword",City,High,
Asta,Black Clover,anime,Knight,"Anti-magic swords, Devil Union","Nullifies all magic, devil power, stamina",No magic of his own,Demon-Slayer/Dweller swords,City,High,
Yuno,Black Clover,anime,Knight,"Wind & Star magic, spirit dives","Huge mana, elite control",Less durable than Asta,"Spirit Storm, Star Magic",City,High,
Natsu Dragneel,Fairy Tail,anime,Mage,"Fire Dragon Slayer magic, Dragon Force","Eats flames, huge endurance, END demon","Motion sickness, reckless","Fire Dragon's Roar, Lightning Flame Mode",City,High,
Erza Scarlet,Fairy Tail,anime,Mage,"Requip (The Knight), many armors","Versatile armory, master swordsmanship","Requip delay, armor-specific weakness","Requip armors, Heaven's Wheel",City,High,
Gray Fullbuster,Fairy Tail,anime,Mage,"Ice-Make, Devil Slayer ice","Versatile constructs, anti-demon ice",Ice melts vs heat,Ice-Make Lance/Hammer,Wall,High,
Gildarts Clive,Fairy Tail,anime,Mage,Crash magic (disassembles matter),"Breaks anything apart, durability","Lost limbs once, gentle","Crash, Disassembly Magic",City,High,
Simon,Gurren Lagann,anime,Mecha Pilot,"Spiral power, Tengen Toppa Gurren Lagann","Galaxy-scale mecha, reality-defying drills",Power tied to willpower/emotion,"Giga Drill Breaker, Tengen Toppa",Universal,High,
Kamina,Gurren Lagann,anime,Mecha Pilot,"Spiral power, Gurren, sheer will","Inspires impossible feats, charisma","Reckless, mortal, dies early","Gurren combat, drill attacks",Building,High,
Saber,Fate/stay night,anime,Servant,"Magic resistance, Excalibur, Mana Burst","Top Servant stats, holy sword","Needs Master's mana, honor-bound","Excalibur, Invisible Air, Avalon",City,High,
Gilgamesh,Fate/stay night,anime,Servant,"Gate of Babylon (countless Noble Phantasms), Ea","Infinite weapon arsenal, reality-cutting sword","Arrogance, doesn't take fights seriously","Gate of Babylon, Enuma Elish",Continent,High,
Saiki Kusuo,Saiki K,anime,Esper,"Telepathy, telekinesis, teleport, time travel",Near-omnipotent psychic,"Power limiters, wants normal life","Psychokinesis, time reversal",Star,High,
Accelerator,A Certain Magical Index,anime,Esper,Vector manipulation (redirect any vector),"Reflects all attacks, controls forces",Brain damage limits stamina,"Vector reflection, plasma, flight",Island,High,
Mikoto Misaka,A Certain Scientific Railgun,anime,Esper,"Electromaster (railgun, lightning)","Level 5 esper, EM control","Stamina limits, emotional","Railgun coin shot, lightning",City,High,
Touma Kamijou,A Certain Magical Index,anime,Esper,Imagine Breaker (negates powers/magic),Cancels any supernatural ability,"Fully human body, right hand only",Imagine Breaker negation,Building,High,
Rimuru Tempest,That Time I Got Reincarnated as a Slime,anime,Slime,"Predator copy abilities, Great Sage, regen","Absorbs powers, limitless growth",Weak early before evolving,"Megiddo, Predator, Universe skills",Continent,High,
Bugs Bunny,Looney Tunes,cartoon,Trickster,"Toon physics, reality manipulation, gadgets","Outsmarts anyone, breaks the fourth wall, immortal toon","Overconfidence, only acts when provoked","Disguises, hammerspace props, reality edits",Universal,High,
Daffy Duck,Looney Tunes,cartoon,Trickster,"Toon physics, regeneration","Survives anything, scheming","Greed, ego, victim of slapstick","Hammerspace props, schemes",Building,High,
Tom,Tom and Jerry,cartoon,Cat,"Toon resilience, gadgets","Survives extreme damage, persistent",Always outwitted by Jerry,"Traps, improvised weapons",Building,High,
Jerry,Tom and Jerry,cartoon,Mouse,"Toon resilience, ingenuity","Outwits Tom, super speed bursts",Small size,"Traps, improvised weapons",Building,High,
Mickey Mouse,Disney,cartoon,Icon,"Toon physics, sorcery (Fantasia)","Resourceful, magic broom command, fan-favorite",Limited raw power,Sorcerer's Apprentice magic,Wall,High,
Donald Duck,Disney,cartoon,Icon,"Toon physics, rage strength","Surprising strength when angry, resilient","Short temper, bad luck",Tantrum fury,Wall,High,
Goofy,Disney,cartoon,Icon,"Toon physics, dumb luck","Survives absurd falls, super strength when needed",Clumsiness,Slapstick endurance,Wall,Med,
Scrooge McDuck,DuckTales,cartoon,Adventurer,"Cane combat, agility, wealth","Pogo-cane fighting, sharp wits, deep pockets","Aging, greed",Cane pogo strike,Human,Med,
Popeye,Popeye,cartoon,Sailor,Spinach super strength,Spinach turns him near-invincible,Powerless without spinach,Spinach-powered punches,City,High,
SpongeBob SquarePants,SpongeBob,cartoon,Icon,"Toon resilience, regeneration, karate","Regenerates, endless optimism/stamina","Naivety, fear of failure","Karate chops, bubble blowing",Wall,High,
Patrick Star,SpongeBob,cartoon,Sea Star,"Toon resilience, regeneration","Survives anything, occasional genius",Extreme stupidity,Regeneration,Wall,Med,
Plankton,SpongeBob,cartoon,Villain,"Genius intellect, robots/inventions","Master schemer, tech inventions","Tiny, repeated failure","Inventions, mind-control schemes",Building,Med,
Rick Sanchez,Rick and Morty,cartoon,Scientist,"Genius intellect, portal gun, infinite tech","Smartest in the multiverse, any device on demand","Alcoholism, nihilism, arrogance","Portal gun, improvised super-weapons",Universal,High,
Morty Smith,Rick and Morty,cartoon,Sidekick,"Survival instinct, occasional tech use",Resourceful under pressure,"Anxiety, ordinary human",Borrowed Rick tech,Human,Med,
Homer Simpson,The Simpsons,cartoon,Icon,"Toon resilience, thick skull","Survives extreme trauma, brute strength bursts","Stupidity, laziness, gluttony",Headbutt durability,Wall,Med,
Bart Simpson,The Simpsons,cartoon,Icon,"Mischief, slingshot, skateboarding","Quick, resourceful prankster","Child, no powers","Slingshot, pranks",Human,Med,
Eric Cartman,South Park,cartoon,Icon,"Manipulation, schemes","Cunning, ruthless manipulator","Child, no powers, ego",Elaborate schemes,Human,Med,
Finn,Adventure Time,cartoon,Hero,"Swordsmanship, grass sword, courage","Skilled fighter, many magic swords","Human, emotional","Grass Sword, Finn Sword",Wall,High,
Jake,Adventure Time,cartoon,Shapeshifter,"Stretching, size change, shapeshifting","Stretches/grows enormously, versatile","Lazy, limited stamina at giant size","Size manipulation, stretch attacks",City,High,
Princess Bubblegum,Adventure Time,cartoon,Ruler,"Genius science, candy biomancy","Master scientist, creates life",Frail in melee,"Bio-engineering, weaponry",City,Med,
Marceline,Adventure Time,cartoon,Vampire,"Flight, shapeshifting, immortality, music","Vampire strength, transforms into monsters","Sunlight, emotional past","Monster forms, soul-sucking",City,High,
Steven Universe,Steven Universe,cartoon,Gem Hybrid,"Shield, bubble, healing, fusion","Defensive powers, healing tears, fusion",Powers tied to emotion,"Shield, bubble, fusion, pink form",Island,High,
Garnet,Steven Universe,cartoon,Gem (Fusion),"Gauntlets, future vision, super strength","Future sight, powerful melee, stable fusion",Defusing splits her,"Gauntlet strikes, future vision",City,High,
Aang,Avatar: The Last Airbender,cartoon,Avatar,"All four bending arts, Avatar State, energybending","Master of all elements, Avatar State boost","Pacifism, Avatar State vulnerability","Air Scooter, Avatar State, energybending",Continent,High,
Zuko,Avatar: The Last Airbender,cartoon,Firebender,"Firebending, lightning redirection, dual swords",Skilled firebender/swordsman,"Hot temper, inner conflict","Fire blasts, lightning redirection",Building,High,
Katara,Avatar: The Last Airbender,cartoon,Waterbender,"Waterbending, healing, bloodbending","Master waterbender, healing, bloodbending",Bloodbending only at full moon,"Water whip, ice spikes, bloodbending",City,High,
Toph Beifong,Avatar: The Last Airbender,cartoon,Earthbender,"Earthbending, metalbending, seismic sense","Invented metalbending, senses via vibrations",Blind (vulnerable in air/water),"Metalbending, seismic sense, rock pillars",City,High,
Korra,The Legend of Korra,cartoon,Avatar,"Four elements, Avatar State, spiritbending","Powerful Avatar, energybending","Reckless, trauma later","Avatar State, all bending arts",Continent,High,
Ben Tennyson,Ben 10,cartoon,Hero,Omnitrix (transform into aliens),Dozens of alien forms with unique powers,"Wrong transformation, time limit","Four Arms, Heatblast, Way Big, Alien X",Universal,High,
Danny Phantom,Danny Phantom,cartoon,Ghost Hybrid,"Intangibility, flight, ghost ray, ghostly wail","Phasing, energy blasts, sonic wail","Power drains him, ghost weaknesses","Ghost Ray, Ghostly Wail, intangibility",City,High,
Jimmy Neutron,Jimmy Neutron,cartoon,Genius,"Genius intellect, inventions","Builds any gadget, brain blasts","Child, overconfidence","Inventions, robots",Building,Med,
Dexter,Dexter's Laboratory,cartoon,Genius,"Genius intellect, secret lab, robots","Advanced tech, robots, gadgets","Child, sister interference","Inventions, mecha",Building,Med,
Samurai Jack,Samurai Jack,cartoon,Samurai,"Magic katana, master swordsmanship","Blade can cut anything evil, elite warrior","Mortal body, time displacement",Mystic katana strikes,City,High,
Johnny Bravo,Johnny Bravo,cartoon,Icon,"Strength, ego","Strong, fast","Vanity, dim-witted",Karate poses,Human,Low,
Courage,Courage the Cowardly Dog,cartoon,Dog,"Cowardly cunning, computer help","Survives horrors, resourceful","Constant fear, small","Screaming, improvisation",Human,Low,
Ed,Ed Edd n Eddy,cartoon,Icon,"Super strength, durability","Immense raw strength, takes any hit",Extreme stupidity,Brute strength,Wall,Med,
Numbuh One,Codename: Kids Next Door,cartoon,Operative,"2x4 tech gadgets, leadership","Tactical leader, kid-tech arsenal","Child, gadget-reliant",2x4 weapons,Human,Low,
Blossom,The Powerpuff Girls,cartoon,Superhero,"Flight, ice breath, super strength, lasers","Leader, ice breath, energy beams","Emotional, bossy","Ice breath, energy projection",City,High,
Bubbles,The Powerpuff Girls,cartoon,Superhero,"Flight, sonic scream, super strength","Sonic scream, multilingual, strength",Cries easily,Sonic scream,City,High,
Buttercup,The Powerpuff Girls,cartoon,Superhero,"Flight, super strength, toughness","Strongest fighter, fearless","Hot temper, reckless",Super-strength strikes,City,High,
Mojo Jojo,The Powerpuff Girls,cartoon,Villain,"Genius intellect, mecha","Master inventor, giant robots","Ego, repeated defeat","Robots, schemes",Building,Med,
Scooby-Doo,Scooby-Doo,cartoon,Dog,"Cowardly speed, eating","Fast when scared, loyal","Cowardice, gluttony","Running away, lucky escapes",Human,Low,
Shaggy,Scooby-Doo,cartoon,Sleuth,"Speed when scared, appetite",Surprisingly fast/strong (meme aside),Cowardice,"Running, improvisation",Human,Low,
Optimus Prime,Transformers,cartoon,Autobot,"Transformation, Ion blaster, Energon axe, Matrix","Leader, vehicle mode, immense strength","Self-sacrificing, Energon dependence","Ion Blaster, Energon Axe, Matrix of Leadership",City,High,Same name appears in another medium — use this medium's portrayal
Megatron,Transformers,cartoon,Decepticon,"Transformation, fusion cannon, super strength","Brutal warlord, powerful cannon","Pride, betrayal-prone",Fusion Cannon,City,High,
Bumblebee,Transformers,cartoon,Autobot,"Transformation, stingers, agility","Fast scout, stingers","Smaller frame, damaged voice",Stinger blasters,Building,Med,Same name appears in another medium — use this medium's portrayal
He-Man,He-Man,cartoon,Hero,"Super strength, Power Sword",Strongest man in the universe,"Identity secrecy, magic-reliant","Power Sword, raw strength",City,High,
Skeletor,He-Man,cartoon,Villain,"Dark magic, Havoc Staff",Powerful sorcery,"Ego, bumbling minions","Magic bolts, Havoc Staff",City,Med,
Lion-O,ThunderCats,cartoon,Hero,"Sword of Omens, Eye of Thundera, agility","Sight beyond sight, energy sword","Young, impulsive",Sword of Omens blasts,City,Med,
Captain Planet,Captain Planet,cartoon,Hero,Elemental control (earth/fire/wind/water/heart),"Master of all elements, flight",Weak to pollution/toxins,Elemental attacks,City,Med,
Wakko,Animaniacs,cartoon,Trickster,"Toon physics, hammerspace","Survives anything, gag mallet","Gluttony, chaos","Mallet, hammerspace",Building,Low,
